container	path_id	type	field_path	value
resources.assets	8297	MonoBehaviour	steps[1].dialogOptions[0].dialogOptionText	I'm sure we can find a place somewhere around here...
resources.assets	8297	MonoBehaviour	steps[1].dialogOptions[0].steps[0].dialogLine.dialogText	I▸▸ hope▸▸ so.▸▸▸▸▸▸▸▸▸▸▸▸▸ Another few hours and I'll be getting withdrawal headaches...
resources.assets	8297	MonoBehaviour	steps[1].dialogOptions[1].dialogOptionText	I saw a vending machine back there with energy drinks. Will that work?
resources.assets	8297	MonoBehaviour	steps[1].dialogOptions[1].steps[0].dialogLine.dialogText	I'm not crazy about those drinks,▸▸▸▸▸ but I'll take ANYTHING with caffeine in it at this point.
resources.assets	8297	MonoBehaviour	steps[1].dialogOptions[2].dialogOptionText	I think you might be a little addicted to coffee...
resources.assets	8297	MonoBehaviour	steps[1].dialogOptions[2].steps[0].dialogLine.dialogText	You think?▸▸▸▸▸ [hahahaha]▸▸[aaaa]▸▸What ever gave you that idea?
resources.assets	8297	MonoBehaviour	steps[2].dialogLine.dialogText	Honestly, I think my body runs entirely on caffeine now.▸▸▸▸▸▸▸▸ I swear,▸▸ I can barely function without it!
resources.assets	8297	MonoBehaviour	steps[3].dialogLine.dialogText	I should probably learn to take it easy...▸▸▸▸▸ but I get so much more done this way!
resources.assets	8298	MonoBehaviour	steps[0].dialogLine.dialogText	Hmmmm...▸▸▸▸▸▸▸▸▸▸ I may have underestimated the cost of vacationing.▸▸▸▸▸ Things really add up quick...
resources.assets	8298	MonoBehaviour	steps[1].dialogLine.dialogText	I'm gonna have to try to move twice as much inventory next month to make up for it...
resources.assets	8298	MonoBehaviour	steps[2].dialogOptions[0].dialogOptionText	I'd be happy to help you out. How much do you need?
resources.assets	8298	MonoBehaviour	steps[2].dialogOptions[0].steps[0].dialogLine.dialogText	Don't even think about it!▸▸▸▸▸ I appreciate the offer, but, I don't need anyone's help!▸▸▸
resources.assets	8298	MonoBehaviour	steps[2].dialogOptions[1].dialogOptionText	I'm sure the government has programs that can assist you.
resources.assets	8298	MonoBehaviour	steps[2].dialogOptions[1].steps[0].dialogLine.dialogText	Hey!▸▸▸▸▸▸▸▸▸▸ Do I LOOK like the kind of person who would take a handout?
resources.assets	8298	MonoBehaviour	steps[2].dialogOptions[2].dialogOptionText	You can always just take things without paying for them.
resources.assets	8298	MonoBehaviour	steps[2].dialogOptions[2].steps[0].dialogLine.dialogText	Now that would be stealing, wouldn't it?▸▸▸▸▸ I was raised much better than that!
resources.assets	8298	MonoBehaviour	steps[3].dialogLine.dialogText	THIS woman makes her own money and pays for her own things, thank you very much!
resources.assets	8299	MonoBehaviour	steps[0].dialogLine.dialogText	[aaaa]▸▸▸▸▸I was hoping this vacation would distract me from everything going on at home.
resources.assets	8299	MonoBehaviour	steps[1].dialogLine.dialogText	Don't get me wrong,▸▸▸▸▸▸▸▸▸▸ I'm having a great time and everything...
resources.assets	8299	MonoBehaviour	steps[2].dialogLine.dialogText	[but]...but I can't seem to take my mind off...▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ well,▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ I don't want to bother you with my problems.
resources.assets	8299	MonoBehaviour	steps[3].dialogOptions[0].dialogOptionText	Please, do. I wouldn't mind at all. Maybe I can help.
resources.assets	8299	MonoBehaviour	steps[3].dialogOptions[0].steps[0].dialogLine.dialogText	No, no,▸▸ really, it's fine.▸▸▸▸▸ I'm just feeling sorry for myself.▸▸▸▸▸ Blah!▸▸▸▸▸ Forget I said anything.
resources.assets	8299	MonoBehaviour	steps[3].dialogOptions[1].dialogOptionText	Hey, whatever it is, don't worry, it'll get better. Time heals all.
resources.assets	8299	MonoBehaviour	steps[3].dialogOptions[1].steps[0].dialogLine.dialogText	Yeah...▸▸▸▸▸ maybe.▸▸▸▸▸▸▸▸▸▸ Unfortunately, time is part of the problem...▸▸▸▸▸ Ughh, that's life, I guess.
resources.assets	8299	MonoBehaviour	steps[3].dialogOptions[2].dialogOptionText	No matter what happens, nothing can take away the fact that you have huge tits.
resources.assets	8299	MonoBehaviour	steps[3].dialogOptions[2].steps[0].dialogLine.dialogText	[hahahaha]▸▸[hhhh]▸▸I know it shouldn't,▸▸▸ but that actually does make me feel a LITTLE bit better.
resources.assets	8300	MonoBehaviour	steps[0].dialogLine.dialogText	You know, I've always wanted to ask you-▸▸[mmmm]▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ Excuse me-▸▸▸[aaaammaaaammmmaaaaaaaa]▸▸▸▸▸ ...ughh,▸▸▸▸▸ sorry about that.
resources.assets	8300	MonoBehaviour	steps[1].dialogOptions[0].dialogOptionText	Are you alright? That sounds like a pretty nasty cough.
resources.assets	8300	MonoBehaviour	steps[1].dialogOptions[0].steps[0].dialogLine.dialogText	I'm fine,▸▸ I'm fine.▸▸▸▸▸▸▸▸▸▸▸▸▸ I've gotten used to it.
resources.assets	8300	MonoBehaviour	steps[1].dialogOptions[1].dialogOptionText	Can I get you a glass of water or something?
resources.assets	8300	MonoBehaviour	steps[1].dialogOptions[1].steps[0].dialogLine.dialogText	No, it's alright.▸▸▸▸▸▸▸ That just seems to happen every so often.
resources.assets	8300	MonoBehaviour	steps[1].dialogOptions[2].dialogOptionText	That's... hot...
resources.assets	8300	MonoBehaviour	steps[1].dialogOptions[2].steps[0].dialogLine.dialogText	Ughh,▸▸▸ I know,▸▸ I know... not my best look.
resources.assets	8300	MonoBehaviour	steps[2].dialogLine.dialogText	I'm not sure why but I get an occasional cough or shortness of breath.
resources.assets	8300	MonoBehaviour	steps[3].dialogLine.dialogText	My doctor says I need to quit smoking, but,▸▸ I don't know...▸▸▸
resources.assets	8300	MonoBehaviour	steps[4].dialogLine.dialogText	I've been smoking for over twenty years and I've never had any problems before.
resources.assets	8301	MonoBehaviour	steps[0].dialogLine.dialogText	So,▸▸▸ hot shot,▸▸▸▸▸▸▸▸▸▸ I think it's time you tell me...▸▸▸▸▸ just how many girls HAVE you been with?
resources.assets	8301	MonoBehaviour	steps[1].dialogOptions[0].dialogOptionText	I'm a virgin. I'm saving myself for marriage.
resources.assets	8301	MonoBehaviour	steps[1].dialogOptions[0].steps[0].dialogLine.dialogText	Stop,▸▸▸▸▸ I can't with you.▸▸▸▸▸▸▸▸▸▸ Honey,▸▸▸▸▸ you and I are both the farthest thing from a virgin.
resources.assets	8301	MonoBehaviour	steps[1].dialogOptions[1].dialogOptionText	I don't really keep track of that sort of thing.
resources.assets	8301	MonoBehaviour	steps[1].dialogOptions[1].steps[0].dialogLine.dialogText	You don't?▸▸▸▸▸▸▸ I thought everybody did.▸▸▸ I used to,▸▸ but I lost track years ago...▸▸
resources.assets	8301	MonoBehaviour	steps[1].dialogOptions[2].dialogOptionText	It has to be in the triple digits by now.
resources.assets	8301	MonoBehaviour	steps[1].dialogOptions[2].steps[0].dialogLine.dialogText	Woooo[hhhww]ww,▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ not bad...▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ but you've got some work to do if you want to catch up to me.
resources.assets	8301	MonoBehaviour	steps[2].dialogLine.dialogText	Honestly,▸▸▸▸▸▸▸▸▸▸▸▸▸▸ my pussy▸▸▸ has seen so much▸▸▸ action,▸▸▸▸▸▸▸▸▸▸▸▸▸ I feel like I'm starting to go numb down there.▸▸▸▸▸[hhaahhaa]
resources.assets	8302	MonoBehaviour	steps[0].dialogLine.dialogText	What do you think▸▸▸ i[ii]s▸▸ a better way▸▸▸ to▸▸▸ die...[h]▸▸[hhh]▸▸▸ slitting your wrists, or▸▸ over▸▸dosing on pills?▸▸▸[h]
resources.assets	8302	MonoBehaviour	steps[1].dialogOptions[0].dialogOptionText	Jesus... kind of a dark question, don't you think?
resources.assets	8302	MonoBehaviour	steps[1].dialogOptions[0].steps[0].dialogLine.dialogText	What?▸▸▸▸▸▸▸▸▸▸ I mean...▸▸▸▸▸▸▸ I'm▸▸▸ gon▸▸na die▸▸▸▸▸ e▸▸ven▸▸tual▸▸ly.▸▸▸▸▸▸▸[hh]▸▸▸▸▸ I might as well have fun with it.[h]
resources.assets	8302	MonoBehaviour	steps[1].dialogOptions[1].dialogOptionText	Why not both? In for a penny, in for a pound!
resources.assets	8302	MonoBehaviour	steps[1].dialogOptions[1].steps[0].dialogLine.dialogText	Oh▸▸▸ my▸▸▸ god,▸▸▸▸▸ YEEEESS[SS]!▸▸[hh]▸▸▸▸▸▸▸▸[hh] Then I could BLOW my brains out▸▸ just for good measure!
resources.assets	8302	MonoBehaviour	steps[1].dialogOptions[2].dialogOptionText	Crazy thought, but you could always NOT kill yourself.
resources.assets	8302	MonoBehaviour	steps[1].dialogOptions[2].steps[0].dialogLine.dialogText	Yeeeeaahh,▸▸▸ I mean,▸▸▸[hh] I guess...▸▸ but,▸▸▸[hh] what fun is that?[h]
resources.assets	8302	MonoBehaviour	steps[2].dialogLine.dialogText	Unless I get bitten by a vampire▸▸ or something...[hh]
resources.assets	8302	MonoBehaviour	steps[3].dialogLine.dialogText	Then▸▸ I could like,▸[hh] live forever, and like, kill people and drink blood and stuff...
resources.assets	8302	MonoBehaviour	steps[4].dialogLine.dialogText	That would be like...[hh]▸▸ fuck▸▸ing▸▸ awe▸▸some?
resources.assets	8303	MonoBehaviour	steps[0].dialogLine.dialogText	Fuck,▸▸ WHERE▸▸ did I put my inhaler?▸▸▸[hh]▸▸▸ Ughh,▸▸ don't tell me I left it in the hotel room!
resources.assets	8303	MonoBehaviour	steps[1].dialogOptions[0].dialogOptionText	Should we go back and get it?
resources.assets	8303	MonoBehaviour	steps[1].dialogOptions[0].steps[0].dialogLine.dialogText	Uhhh,▸▸ I don't know...▸▸ I like,▸▸▸ REAL▸LY▸▸ don't want to go all the way back.▸▸[k]
resources.assets	8303	MonoBehaviour	steps[1].dialogOptions[1].dialogOptionText	Don't you hate when that happens?
resources.assets	8303	MonoBehaviour	steps[1].dialogOptions[1].steps[0].dialogLine.dialogText	I don't know▸▸ WHY▸▸ it's always▸▸ me that has to lose shit▸▸ ALL the time...
resources.assets	8303	MonoBehaviour	steps[1].dialogOptions[2].dialogOptionText	What do you need an inhaler for?
resources.assets	8303	MonoBehaviour	steps[1].dialogOptions[2].steps[0].dialogLine.dialogText	Ummm...▸▸ as▸▸thma?▸▸ Is there like,▸▸ another reason somebody would▸ need an inhaler?
resources.assets	8303	MonoBehaviour	steps[2].dialogLine.dialogText	Whatever... it's fine.▸▸▸[hh]▸▸▸ If I have an asthma attack,▸▸ I'll just die...[hh]▸▸ and then everybody▸▸ will be happy!
resources.assets	8304	MonoBehaviour	steps[0].dialogLine.dialogText	[aaaahh]▸▸▸▸▸Why do I even▸▸ bother getting out of▸ bed in the morning?
resources.assets	8304	MonoBehaviour	steps[1].dialogOptions[0].dialogOptionText	Yeah, that feeling never really goes away so get used to it.
resources.assets	8304	MonoBehaviour	steps[1].dialogOptions[0].steps[0].dialogLine.dialogText	Oh, gre[ee]at...▸▸ life just keeps getting better▸▸ and better,▸▸ doesn't it?▸▸[h]
resources.assets	8304	MonoBehaviour	steps[1].dialogOptions[1].dialogOptionText	What's wrong? Is something bothering you?
resources.assets	8304	MonoBehaviour	steps[1].dialogOptions[1].steps[0].dialogLine.dialogText	Uhhhh... how about,▸▸ liiiike...▸▸ everything?[h]
resources.assets	8304	MonoBehaviour	steps[1].dialogOptions[2].dialogOptionText	So you can get laid. That's why I do it!
resources.assets	8304	MonoBehaviour	steps[1].dialogOptions[2].steps[0].dialogLine.dialogText	Tch!▸▸[hh]▸▸▸ Yeah,▸▸▸ that's like,▸▸ basically,▸▸▸ the ONLY good thing about life?▸[ahha]▸[hh]
resources.assets	8304	MonoBehaviour	steps[2].dialogLine.dialogText	I'm stuck on this stupid island, without my tablet,▸[hh]▸ my parents hate me,[hh] my life is worthless, and▸▸ every▸▸thing▸▸ SU[U]CKS![S]
resources.assets	8304	MonoBehaviour	steps[3].dialogLine.dialogText	I mean,▸▸ what the fuck▸▸ is even▸▸ the point▸▸ of life▸▸ anyway?▸▸[hh]▸▸▸▸ We're all just gonna die in the end...[h]
resources.assets	8305	MonoBehaviour	steps[0].dialogLine.dialogText	I▸▸▸▸▸ must admit...▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ I was a little worried about coming to a tropical island like this.
resources.assets	8305	MonoBehaviour	steps[1].dialogLine.dialogText	I don't care much for water.▸▸▸▸▸▸▸▸▸▸▸▸▸ To be honest,▸▸▸▸▸▸▸▸▸▸ I▸▸▸▸▸ don't even know how to swim...
resources.assets	8305	MonoBehaviour	steps[2].dialogOptions[0].dialogOptionText	You don't like water? You're like seventy percent water.
resources.assets	8305	MonoBehaviour	steps[2].dialogOptions[0].steps[0].dialogLine.dialogText	Hmmm,▸▸▸▸▸ perhaps you're right.▸▸▸▸▸ Though I never quite saw myself as...▸▸▸▸▸ completely human...
resources.assets	8305	MonoBehaviour	steps[2].dialogOptions[1].dialogOptionText	Swimming is easy! I'll teach you how!
resources.assets	8305	MonoBehaviour	steps[2].dialogOptions[1].steps[0].dialogLine.dialogText	N-no...▸▸▸▸▸ thank you.▸▸▸▸▸▸▸▸▸▸ I've▸▸▸▸▸ tried many times in the past...▸▸▸▸▸ to no avail,▸▸▸▸▸ I'm afraid.
resources.assets	8305	MonoBehaviour	steps[2].dialogOptions[2].dialogOptionText	You just get in the water and start flailing your limbs around.
resources.assets	8305	MonoBehaviour	steps[2].dialogOptions[2].steps[0].dialogLine.dialogText	Un▸▸▸fortunately▸▸ for me...▸▸▸▸▸▸▸▸▸▸▸▸▸ the difficult part would be getting▸▸ IN▸▸▸ the water...
resources.assets	8305	MonoBehaviour	steps[3].dialogLine.dialogText	I▸▸▸ can't quite explain it...▸▸▸▸▸▸▸▸▸▸ the shocking chill against my skin...▸▸▸▸▸▸▸▸▸▸ it's rather...▸▸▸▸▸ disturbing...
resources.assets	8305	MonoBehaviour	steps[4].dialogLine.dialogText	There's little I find more displeasing than the feeling of being splashed by water...
resources.assets	8306	MonoBehaviour	steps[0].dialogLine.dialogText	Do you...▸▸▸▸▸ do you hear that...▸▸▸▸▸ ringing sound?
resources.assets	8306	MonoBehaviour	steps[1].dialogOptions[0].dialogOptionText	A ringing sound? No, I don't hear anything...
resources.assets	8306	MonoBehaviour	steps[1].dialogOptions[0].steps[0].dialogLine.dialogText	Hmmm...▸▸▸▸▸ it must only be me then...
resources.assets	8306	MonoBehaviour	steps[1].dialogOptions[1].dialogOptionText	Only when I match Joy tokens during a date.
resources.assets	8306	MonoBehaviour	steps[1].dialogOptions[1].steps[0].dialogLine.dialogText	So you hear it on the dates as well?▸▸▸▸▸ Interesting...
resources.assets	8306	MonoBehaviour	steps[1].dialogOptions[2].dialogOptionText	You might have tinnitus or something like that.
resources.assets	8306	MonoBehaviour	steps[1].dialogOptions[2].steps[0].dialogLine.dialogText	I▸▸▸ suppose that's possible.▸▸▸▸▸▸▸▸▸▸ I've no explanation for it otherwise...
resources.assets	8306	MonoBehaviour	steps[2].dialogLine.dialogText	It seems, ever since our most recent date...▸▸▸▸▸▸▸▸▸▸ I▸▸▸ can't get this ringing sound out of my head...
resources.assets	8307	MonoBehaviour	steps[0].dialogLine.dialogText	Please,▸▸▸▸▸ you must tell me something...▸▸▸▸▸▸▸▸▸▸ the butterfly queen... you've seen her,▸▸▸▸▸ right?
resources.assets	8307	MonoBehaviour	steps[1].dialogLine.dialogText	Is she beautiful?▸▸▸▸▸▸▸▸▸▸ Is her glorious green hair▸▸▸▸▸ as long and flowing as my dreams would suggest?
resources.assets	8307	MonoBehaviour	steps[2].dialogOptions[0].dialogOptionText	I have no idea what you're talking about...
resources.assets	8307	MonoBehaviour	steps[2].dialogOptions[0].steps[0].dialogLine.dialogText	Oh?▸▸▸▸▸▸▸▸▸▸ What a shame...▸▸▸▸▸▸▸▸▸▸ I▸▸▸ thought for certain you'd have laid eyes on her by now...
resources.assets	8307	MonoBehaviour	steps[2].dialogOptions[1].dialogOptionText	You mean Venus? She's a love goddess... not a butterfly queen.
resources.assets	8307	MonoBehaviour	steps[2].dialogOptions[1].steps[0].dialogLine.dialogText	Yes,▸▸▸▸▸ of course.▸▸▸▸▸▸▸▸▸▸ I▸▸▸▸▸ did think it strange for a butterfly queen to not have wings...
resources.assets	8307	MonoBehaviour	steps[2].dialogOptions[2].dialogOptionText	Yeah, she's alright. I actually had sex with her, you know.
resources.assets	8307	MonoBehaviour	steps[2].dialogOptions[2].steps[0].dialogLine.dialogText	In▸▸▸▸▸▸▸▸cred▸▸ible...▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ so it must be true then,▸▸▸▸▸▸▸▸▸▸ you really are the one...
resources.assets	8307	MonoBehaviour	steps[3].dialogLine.dialogText	Perhaps it isn't something for unworthy mortals such as myself to behold such beauty...
resources.assets	8307	MonoBehaviour	steps[4].dialogLine.dialogText	Still...▸▸▸▸▸▸▸▸▸▸▸▸▸ I hope very much to be able to meet her one day.▸▸▸▸▸▸▸▸▸▸ I can think of no greater honor...
resources.assets	8308	MonoBehaviour	steps[0].dialogLine.dialogText	Sometimes my friends say I'm annoy▸▸▸▸▸ing...▸▸▸▸▸ but I'm not!▸▸▸▸▸[hh]▸▸ You don't think I'm annoying,▸▸▸ do you?
resources.assets	8308	MonoBehaviour	steps[1].dialogOptions[0].dialogOptionText	You? Annoying? No way! Why would anybody say that?
resources.assets	8308	MonoBehaviour	steps[1].dialogOptions[0].steps[0].dialogLine.dialogText	I▸ don't▸ know!▸▸▸▸▸[hh]▸▸▸▸▸ Probably 'cause they're just bein' mean to me![h]
resources.assets	8308	MonoBehaviour	steps[1].dialogOptions[1].dialogOptionText	You're kind of annoying, but your tits make up for it.
resources.assets	8308	MonoBehaviour	steps[1].dialogOptions[1].steps[0].dialogLine.dialogText	[haha]▸▸[hh]▸▸▸▸▸Quit jokin' around you big meanie head!
resources.assets	8308	MonoBehaviour	steps[1].dialogOptions[2].dialogOptionText	You're probably the most annoying person I've ever met.
resources.assets	8308	MonoBehaviour	steps[1].dialogOptions[2].steps[0].dialogLine.dialogText	Ah,▸▸ no!▸▸▸▸▸▸▸ Unh-▸▸unh!▸▸▸▸▸ No▸▸ I'm▸▸ not!▸▸▸▸▸▸▸ You're just sayin' that to be mean!
resources.assets	8308	MonoBehaviour	steps[2].dialogLine.dialogText	I'm▸▸ NOT▸▸ annoying!▸▸▸▸▸[hh]▸▸▸▸▸ I'm not, I'm not, I'm NOO[OO]OOT!▸▸[hh]
resources.assets	8309	MonoBehaviour	steps[0].dialogLine.dialogText	Pay attention to meeeeeeee![hh]
resources.assets	8309	MonoBehaviour	steps[1].dialogOptions[0].dialogOptionText	I AM paying attention to you...
resources.assets	8309	MonoBehaviour	steps[1].dialogOptions[0].steps[0].dialogLine.dialogText	No you're noooooot![hh]▸▸▸▸▸ Not really,▸▸ not enough... ▸▸I need MORE attention![h]
resources.assets	8309	MonoBehaviour	steps[1].dialogOptions[1].dialogOptionText	Why should I?
resources.assets	8309	MonoBehaviour	steps[1].dialogOptions[2].dialogOptionText	Sorry, I have to balance my attention between the two of you.
resources.assets	8309	MonoBehaviour	steps[1].dialogOptions[2].steps[0].dialogLine.dialogText	Nooooooo...[hh]▸▸▸ pay attention to ME!▸[hh]
resources.assets	8309	MonoBehaviour	steps[2].dialogLine.dialogText	'Cause, 'cause, 'cause, umm,▸▸ I'm cute▸▸ and nice▸▸ and cool▸▸ and awesome and,▸▸ and,▸▸ annnnd...▸▸ and Suki!▸▸[hh]
resources.assets	8310	MonoBehaviour	steps[0].dialogLine.dialogText	O▸▸▸kay,▸▸▸ so like,▸▸▸▸▸ ummmm,▸▸▸[hh]▸▸▸ weird question,▸▸▸ but umm...▸▸ how often do you take a shower?
resources.assets	8310	MonoBehaviour	steps[1].dialogOptions[0].dialogOptionText	I shower every day. Doesn't everyone?
resources.assets	8310	MonoBehaviour	steps[1].dialogOptions[0].steps[0].dialogLine.dialogText	Mmmm...▸▸ no!▸▸▸▸▸ Not everyone!▸▸▸▸▸ You don't really need to![h]
resources.assets	8310	MonoBehaviour	steps[1].dialogOptions[1].dialogOptionText	Twice a day. Once in the morning and once at night.
resources.assets	8310	MonoBehaviour	steps[1].dialogOptions[1].steps[0].dialogLine.dialogText	What!?▸▸▸▸[hh]▸▸▸▸▸ That's crazy!▸▸▸▸▸ Doesn't that dry out your skin?
resources.assets	8310	MonoBehaviour	steps[1].dialogOptions[2].dialogOptionText	A few times per week. You don't want to overdo it.
resources.assets	8310	MonoBehaviour	steps[1].dialogOptions[2].steps[0].dialogLine.dialogText	Yeah!▸▸▸▸▸ I think most people take showers WAAAAYY too much!
resources.assets	8310	MonoBehaviour	steps[2].dialogLine.dialogText	I only shower once or twice a week.▸▸▸▸▸ That's enough for me!▸▸▸▸▸ Mmmhmm![h]
resources.assets	8310	MonoBehaviour	steps[3].dialogLine.dialogText	My mom says I need to shower more so I don't smell bad,▸▸▸ but,▸▸ I smell fine!▸▸▸▸▸ That's what perfume is for!
resources.assets	8311	MonoBehaviour	steps[0].dialogLine.dialogText	It's strange,▸▸▸▸▸ but,▸▸▸▸▸▸▸▸▸▸ for some reason,▸▸▸▸▸▸▸▸▸▸ Inna De Poona has a reputation as some kind of sex island...
resources.assets	8311	MonoBehaviour	steps[1].dialogLine.dialogText	A lot of people come here just to have wild orgies or hook up with total strangers...
resources.assets	8311	MonoBehaviour	steps[2].dialogOptions[0].dialogOptionText	What's wrong with that?
resources.assets	8311	MonoBehaviour	steps[2].dialogOptions[0].steps[0].dialogLine.dialogText	If that's what makes someone happy, I wouldn't judge them!▸▸▸▸▸▸▸▸▸▸ It's just...
resources.assets	8311	MonoBehaviour	steps[2].dialogOptions[1].dialogOptionText	You have to be honest, the name is a little suggestive...
resources.assets	8311	MonoBehaviour	steps[2].dialogOptions[1].steps[0].dialogLine.dialogText	Is it?▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ Hmmm,▸▸▸▸▸▸▸▸▸▸ I never really notice before...
resources.assets	8311	MonoBehaviour	steps[2].dialogOptions[2].dialogOptionText	Really? Oh man... I for one would NEVER do something like that.
resources.assets	8311	MonoBehaviour	steps[2].dialogOptions[2].steps[0].dialogLine.dialogText	Yeah,▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ I like to get to know people at LEAST a LITTLE bit!▸▸▸▸▸[hahahaha]
resources.assets	8311	MonoBehaviour	steps[3].dialogLine.dialogText	Sometimes I feel a little out of place working here,▸▸▸▸▸▸▸▸▸▸ because▸▸▸▸▸ I'm not really LIKE that, you know?
resources.assets	8311	MonoBehaviour	steps[4].dialogLine.dialogText	I don't mean to sound like a prude!▸▸▸▸▸▸▸▸▸▸ I just like to take things a little slower...
resources.assets	8312	MonoBehaviour	steps[0].dialogLine.dialogText	You know...▸▸▸▸▸▸▸▸▸▸ working at the hotel,▸▸▸▸▸▸▸▸▸▸ I see so many pretty girls with amazing bodies come to the resort.
resources.assets	8312	MonoBehaviour	steps[1].dialogLine.dialogText	I know I shouldn't feel this way,▸▸ but,▸▸▸▸▸ it does make me jealous...▸▸▸▸▸ I wish I was as pretty as they are...
resources.assets	8312	MonoBehaviour	steps[2].dialogOptions[0].dialogOptionText	Are you kidding me Lailani? You're an absolute stunner!
resources.assets	8312	MonoBehaviour	steps[2].dialogOptions[0].steps[0].dialogLine.dialogText	It's▸▸▸▸▸ okay...▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ really,▸▸▸▸▸▸▸▸▸▸ you don't have to say that just to make me feel better...
resources.assets	8312	MonoBehaviour	steps[2].dialogOptions[1].dialogOptionText	Look on the bright side, at least you're not as ugly as me.
resources.assets	8312	MonoBehaviour	steps[2].dialogOptions[1].steps[0].dialogLine.dialogText	Don't say that!▸▸▸▸▸▸▸▸▸▸ I think you're very handsome!▸▸▸▸▸▸▸▸▸▸ Me on the other hand...
resources.assets	8312	MonoBehaviour	steps[2].dialogOptions[1].steps[0].dialogLine.yuriDialogText	Don't say that!▸▸▸▸▸▸▸▸▸▸ I think you're very pretty!▸▸▸▸▸▸▸▸▸▸ Me on the other hand...
resources.assets	8312	MonoBehaviour	steps[2].dialogOptions[2].dialogOptionText	Hey, we can't all be blessed with incredible beauty, right?
